,log
26,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
27,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
28,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
29,"bdgha, bdefc, debhg, baghc, dcg, cahbg, biahgc, badbf, dbefa, ghabd, aacff, bahigc, gaihbd, cabhg, bace, bagc, baecc, baicgh, dhdag, bdfc, badhg, dbag, cbefa, biacef, badef, daiebf, bacg, badhg, gcgaa, dagef, gbhcc, badgh, aefa, baded, beca, bciae, efcbai, bcaef, dibeifa, eacef, cbagh, bacgh, cbah, biahcg, bdagh, acgbh, badhg, baefd, badgh, bae"
30,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
31,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
32,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
33,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
34,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
35,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
36,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
37,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
38,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
39,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
40,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
41,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
42,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
43,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
44,"gdbfhjcdeja, hjdfacgdcfebdjbcjefhdebcfgda, a, gda, heebjfhcda, fdbecgdja, gda, gfaj, hdja, gdfcbgeda, hda, gcbfged, hda, gdbefcadcbebgdc, hda, hda, hdecbgda, gdbcehda, hdcfbgdefbceda, gdfbecgdbcjfega, hdbfcgeda, gda, hdjeafcgdecfhdfbjejcgbcbhda, hdebcfda, hdcbfejhdbefcda, hdefbcgdbcgfedbfecgjda, da, hda, gdcbefjgdfcbejgdaj, hdfecgdbfbchdfegda, diecbgdbcjgdejcbfhdeafdhda, gdefcbhdbcefgda, hda, gda, daj, hda, hda, hd, gdbcdehda, gdjcfbhda, hdfcehda, cda, da, hjda, ga, gdfecbfgejbchfda, gdbefcgfcfedbcfegda, hdjeffhjbdebjcfgdfhgba, hdbfehdcefhibjbfcehjhcfebhdecbffdbcfehda, gda"
45,"acd, ac, acd, abfbeb, abebfbf, acd, ab, cd, b, acd, acd, abfbebf, acd, ab, abfbfbheb, abh, add, abebeb, ahchd, abebfbh, abfb, abh, acd, acd, acd, acb, achd, abeb, ab, ab, cg, acd, acd, acd, cd, ab, acd, fbebeb, acd, ecd, abebeb, abfbfhb, bfb, acd, abeb, ab, acd, abebfbh, acd, ad"
46,"acd, ac, acd, abfbeb, abebfbf, acd, ab, cd, b, acd, acd, abfbebf, acd, ab, abfbfbheb, abh, add, abebeb, ahchd, abebfbh, abfb, abh, acd, acd, acd, acb, achd, abeb, ab, ab, cg, acd, acd, acd, cd, ab, acd, fbebeb, acd, ecd, abebeb, abfbfhb, bfb, acd, abeb, ab, acd, abebfbh, acd, ad"
47,"acd, ac, acd, abfbeb, abebfbf, acd, ab, cd, b, acd, acd, abfbebf, acd, ab, abfbfbheb, abh, add, abebeb, ahchd, abebfbh, abfb, abh, acd, acd, acd, acb, achd, abeb, ab, ab, cg, acd, acd, acd, cd, ab, acd, fbebeb, acd, ecd, abebeb, abfbfhb, bfb, acd, abeb, ab, acd, abebfbh, acd, ad"
