,log
10,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
11,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
12,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
13,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
14,"bde, ecbcbde, bcbed, bhcbcbabfdh, be, bhcdhbedaebhde, bde, bdhe, bcbde, gdeabchbe, bedabcbcbeadbde, bcbeadbhcbe, ecbbcbedabd, badbedabcbed, bhdeabed, bcbcbcbe, babcbgbbcbccbcdcbbbdaeedadedabed, bdaebcbdaebcbde, babcdaebcbcbde, bcbdaebgbdbdahebedabcbdeahbceacbcbcbdabcbebde, bcbdf, bcgcbe, fde, bdheabcbeh, bdebcbaaead, bhdaebed, eadbchbde, bcbde, bdabchbcbhcbdhf, bcbed, bcbeabdbdeacbcbdabcbcbhde, cedahbcbccbde, bchbdeabde, bcbeadbbccbcbcbdabdaebhabeh, bde, bcbedabcdadh, bcbe, bcbcbcbcbdaebeadbed, bdhe, bcbeadbce, beabd, bhcbdaebcbdaebcgchbehdabed, bcbdeabeadebhbaabhcbdaebedh, behdabcbeadbed, bcgcebchbhccbedagceaded, bed, bebabedadcbed, bbed, bde, acbeadd"
15,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
16,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
17,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
18,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
19,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
20,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
21,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
22,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
23,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
24,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
25,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
26,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
27,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
28,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
29,"efaedcahfeb, acdgbh, eajbdhgh, aejcgdjbh, acgdehfjejb, aedghfefeb, adegbhc, ajecjgfheb, adjgefjecejiefeedefeb, acghjejdfefeb, aceegfefefe, adgefcfefeb, eacgdhfefeb, ajefcegdfehfeeeb, eacbdgi, adcegbh, aefjefebdcgjh, eafcgjedfafjefefeb, aefcdegha, acjghefejfdeb, ajedggcfeb, adgchbfefefe, adgecbh, eacjdgfhefefefeb, dcgdjeb, aefdcjghjcfefeb, acdegbh, aefecihfejfebj, aebcgdb, aefjdghceb, cghdeb, efebajgdh, ejabcdgh, acggdeefefhejb, ajefcgdefefeb, afccdgh, aecdjfghefeb, efeffaadcgh, adeghcc, ebacghd, aafdceeeghb, acdefgceb, adgfhceb, abgehb, acdgeb, aejfefefefceahb, aedcghcefjb, acgdaefefe, afcdghj, febajdcgh"
